Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-03-11,6.110506900056394,6.184573650360107,6.110506900056394,6.184573650360107,2359000,0.0,0.0
1994-03-14,6.147539907513242,6.147539907513242,6.110506534576416,6.110506534576416,536500,0.0,0.0
1994-03-15,6.110506534576416,6.147539907513242,6.110506534576416,6.110506534576416,215700,0.0,0.0
1994-03-16,6.110508065474661,6.332708358764648,6.110508065474661,6.332708358764648,338600,0.0,0.0
1994-03-17,6.332706555812316,6.332706555812316,6.184573069126648,6.258639812469482,195900,0.0,0.0
1994-03-18,6.258641543842497,6.258641543842497,6.147541398093814,6.2216081619262695,285700,0.0,0.0
1994-03-21,6.221607025511965,6.221607025511965,6.184573650360107,6.184573650360107,38900,0.0,0.0
1994-03-22,6.184574425938618,6.184574425938618,6.147541046142578,6.147541046142578,78400,0.0,0.0
1994-03-23,6.147542672998766,6.369743010577034,6.147542672998766,6.295676231384277,209200,0.0,0.0
1994-03-24,6.258641543842497,6.258641543842497,6.2216081619262695,6.2216081619262695,155000,0.0,0.0
1994-03-25,6.2216081619262695,6.258641543842497,6.2216081619262695,6.2216081619262695,91500,0.0,0.0
1994-03-28,6.221606440798065,6.258639812469482,6.184573069126648,6.258639812469482,111200,0.0,0.0
1994-03-29,6.2586400263237225,6.2586400263237225,6.110506534576416,6.110506534576416,101200,0.0,0.0
1994-03-30,6.110505868748921,6.147539237650429,6.036439130945904,6.073472499847412,105000,0.0,0.0
1994-03-31,6.073473161639589,6.110506534576416,6.073473161639589,6.110506534576416,108300,0.0,0.0
1994-04-04,6.036440487974178,6.036440487974178,5.925340356293672,5.962373733520508,42300,0.0,0.0
1994-04-05,5.99940752695842,6.184574425938618,5.99940752695842,6.147541046142578,55600,0.0,0.0
1994-04-06,6.14754027520825,6.184573650360107,6.14754027520825,6.184573650360107,31800,0.0,0.0
1994-04-07,6.184574425938618,6.221607805734657,6.147541046142578,6.147541046142578,52000,0.0,0.0
1994-04-08,6.147539237650429,6.147539237650429,6.073472499847412,6.073472499847412,24000,0.0,0.0
1994-04-11,6.073472309697625,6.110505677439684,6.036438941955566,6.036438941955566,44400,0.0,0.0
1994-04-12,6.036439130945904,6.073472499847412,5.999405762044395,6.073472499847412,15100,0.0,0.0
1994-04-13,6.073472309697625,6.073472309697625,6.036438941955566,6.036438941955566,30500,0.0,0.0
1994-04-14,6.036438941955566,6.073472309697625,6.036438941955566,6.036438941955566,38800,0.0,0.0
1994-04-15,6.036440487974178,6.073473865201014,5.962373733520508,5.962373733520508,12200,0.0,0.0
1994-04-18,5.962373733520508,6.036440487974178,5.962373733520508,5.962373733520508,39800,0.0,0.0
1994-04-19,5.9994049072265625,6.036438270851417,5.9994049072265625,5.9994049072265625,24500,0.0,0.0
1994-04-20,5.9994049072265625,5.9994049072265625,5.962371543601707,5.9994049072265625,72000,0.0,0.0
1994-04-21,5.9994049072265625,6.036438270851417,5.9994049072265625,5.9994049072265625,15000,0.0,0.0
1994-04-22,5.999405762044395,6.073472499847412,5.962372393142886,6.073472499847412,20700,0.0,0.0
1994-04-25,6.073471634476273,6.073471634476273,5.9994049072265625,5.9994049072265625,27300,0.0,0.0
1994-04-26,6.036439130945904,6.073472499847412,6.036439130945904,6.073472499847412,64000,0.0,0.0
1994-04-28,6.073473161639589,6.147539907513242,6.073473161639589,6.110506534576416,27100,0.0,0.0
1994-04-29,6.110505868748921,6.110505868748921,6.073472499847412,6.073472499847412,5500,0.0,0.0
1994-05-02,6.073473161639589,6.110506534576416,6.073473161639589,6.110506534576416,11700,0.0,0.0
1994-05-03,6.110505868748921,6.110505868748921,6.036439130945904,6.073472499847412,29000,0.0,0.0
1994-05-04,6.073471634476273,6.073471634476273,5.9994049072265625,5.9994049072265625,39600,0.0,0.0
1994-05-05,5.999405574213507,6.036438941955566,5.962372206471449,6.036438941955566,7600,0.0,0.0
1994-05-06,6.036440487974178,6.036440487974178,5.925340356293672,5.962373733520508,13600,0.0,0.0
1994-05-09,5.962371543601707,5.9994049072265625,5.962371543601707,5.9994049072265625,3700,0.0,0.0
1994-05-10,5.9994049072265625,5.9994049072265625,5.962371543601707,5.9994049072265625,75100,0.0,0.0
1994-05-11,5.9994049072265625,6.036438270851417,5.962371543601707,5.9994049072265625,81400,0.0,0.0
1994-05-12,5.9994049072265625,6.036438270851417,5.9994049072265625,5.9994049072265625,7100,0.0,0.0
1994-05-13,5.9994049072265625,6.036438270851417,5.9994049072265625,5.9994049072265625,14500,0.0,0.0
1994-05-16,5.9994049072265625,6.036438270851417,5.962371543601707,5.9994049072265625,12600,0.0,0.0
1994-05-17,5.999407110747343,6.036440487974178,5.962373733520508,5.962373733520508,13400,0.0,0.0
1994-05-18,5.962372206471449,6.036438941955566,5.962372206471449,6.036438941955566,6700,0.0,0.0
1994-05-19,6.036439130945904,6.073472499847412,6.036439130945904,6.073472499847412,36500,0.0,0.0
1994-05-20,6.073472499847412,6.147539237650429,6.073472499847412,6.073472499847412,26800,0.0,0.0
1994-05-23,6.110508016177587,6.2216081619262695,6.110508016177587,6.2216081619262695,36200,0.0,0.0
1994-05-24,6.221608212119654,6.332708358764648,6.184574829904657,6.332708358764648,116200,0.0,0.0
1994-05-25,6.406776595389705,6.480843376839298,6.406776595389705,6.443809986114502,283300,0.0,0.0
1994-05-26,6.406771942626598,6.406771942626598,6.369738578796387,6.369738578796387,50200,0.0,0.0
1994-05-27,6.369741740979646,6.406775123194644,6.332708358764648,6.332708358764648,10000,0.0,0.0
1994-05-31,6.332705214966175,6.369738578796387,6.332705214966175,6.369738578796387,41400,0.0,0.0
1994-06-01,6.36974320466491,6.480843376839298,6.36974320466491,6.443809986114502,166300,0.0,0.0
1994-06-02,6.443809986114502,6.480843376839298,6.443809986114502,6.443809986114502,243600,0.0,0.0
1994-06-03,6.443809986114502,6.480843376839298,6.443809986114502,6.443809986114502,42400,0.0,0.0
1994-06-06,6.4808435861576985,6.740077329604007,6.4808435861576985,6.7030439376831055,87200,0.0,0.0
1994-06-07,6.7030414281572614,6.7030414281572614,6.480841159820557,6.480841159820557,19700,0.0,0.0
1994-06-08,6.480841159820557,6.554907915932792,6.4438077817644395,6.480841159820557,16100,0.0,0.0
1994-06-09,6.480841812762347,6.5178751945495605,6.480841812762347,6.5178751945495605,25000,0.0,0.0
1994-06-10,6.5178751945495605,6.554908576336774,6.5178751945495605,6.5178751945495605,23900,0.0,0.0
1994-06-13,6.5178751945495605,6.5178751945495605,6.480841812762347,6.5178751945495605,72800,0.0,0.0
1994-06-14,6.517872524800274,6.591939258036641,6.517872524800274,6.554905891418457,38700,0.0,0.0
1994-06-15,6.554908576336774,6.5919419581239875,6.443808430975134,6.5178751945495605,74700,0.0,0.0
1994-06-16,6.517874537876674,6.517874537876674,6.4438077817644395,6.480841159820557,15200,0.0,0.0
1994-06-17,6.480841887624639,6.480841887624639,6.332708358764648,6.332708358764648,12700,0.0,0.0
1994-06-20,6.332708307674953,6.332708307674953,6.147541398093814,6.2216081619262695,31300,0.0,0.0
1994-06-21,6.2216081619262695,6.2216081619262695,6.147541398093814,6.2216081619262695,9800,0.0,0.0
1994-06-22,6.2216094521915215,6.295676231384277,6.2216094521915215,6.295676231384277,13200,0.0,0.0
1994-06-23,6.2956745653267365,6.2956745653267365,6.147541046142578,6.147541046142578,35400,0.0,0.0
1994-06-24,6.147541447689658,6.332708358764648,6.147541447689658,6.332708358764648,19400,0.0,0.0
1994-06-27,6.2956745653267365,6.2956745653267365,6.147541046142578,6.147541046142578,58300,0.0,0.0
1994-06-28,6.147539907513242,6.221606653386896,6.073473161639589,6.110506534576416,14500,0.0,0.0
1994-06-29,6.110505868748921,6.147539237650429,6.036439130945904,6.073472499847412,37700,0.0,0.0
1994-06-30,6.20668888092041,6.20668888092041,6.130997553104308,6.20668888092041,103200,0.44,0.0
1994-07-01,6.20669225804946,6.509457734051873,6.20669225804946,6.4337663650512695,36800,0.0,0.0
1994-07-05,6.47161136197217,6.660839764369016,6.47161136197217,6.547302722930908,66800,0.0,0.0
1994-07-06,6.547303128516537,6.622994494164127,6.509457445692742,6.585148811340332,26500,0.0,0.0
1994-07-07,6.547298955362897,6.547298955362897,6.471607637959857,6.509453296661377,53900,0.0,0.0
1994-07-08,6.509457042451539,6.547302722930908,6.509457042451539,6.547302722930908,13200,0.0,0.0
1994-07-11,6.547303128516537,6.698685859811717,6.547303128516537,6.585148811340332,84800,0.0,0.0
1994-07-12,6.585149103052476,6.66084047205308,6.395920680550968,6.4337663650512695,22700,0.0,0.0
1994-07-13,6.433764396355166,6.509455742194638,6.433764396355166,6.471610069274902,32700,0.0,0.0
1994-07-14,6.47161136197217,6.585148403410278,6.4337656814928,6.547302722930908,32400,0.0,0.0
1994-07-15,6.547302722930908,6.547302722930908,6.509457042451539,6.547302722930908,27200,0.0,0.0
1994-07-18,6.547298955362897,6.547298955362897,6.509453296661377,6.509453296661377,3200,0.0,0.0
1994-07-19,6.509457734051873,6.509457734051873,6.4337663650512695,6.4337663650512695,35000,0.0,0.0
1994-07-20,6.509457042451539,6.547302722930908,6.509457042451539,6.547302722930908,42900,0.0,0.0
1994-07-21,6.5473030580793115,6.622994422912598,6.5094573756626675,6.622994422912598,24800,0.0,0.0
