Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-05-09,3.339337606333319,3.6595482382290436,3.339337606333319,3.5680594444274902,2629200,0.0,0.0
1995-05-10,3.6595477969178067,3.8882696074300167,3.6595477969178067,3.796780824661255,4705800,0.0,0.0
1995-05-11,3.7967818100190267,3.934014873377812,3.7967818100190267,3.888270616531372,3039000,0.0,0.0
1995-05-12,3.88826930111232,3.934013542483277,3.842524766921997,3.842524766921997,1584800,0.0,0.0
1995-05-15,3.842524766921997,3.88826930111232,3.842524766921997,3.842524766921997,1119300,0.0,0.0
1995-05-16,3.842524766921997,3.88826930111232,3.79678052555104,3.842524766921997,1203800,0.0,0.0
1995-05-17,3.8425231816302565,3.8425231816302565,3.7052902213155776,3.751034736633301,1458800,0.0,0.0
1995-05-18,3.7510365796865686,3.842525069635941,3.7510365796865686,3.796780824661255,420200,0.0,0.0
1995-05-19,3.842525069635941,3.842525069635941,3.7510365796865686,3.796780824661255,414400,0.0,0.0
1995-05-22,3.9797578469804606,4.162735401005379,3.934013604883917,4.07124662399292,1283800,0.0,0.0
1995-05-23,4.025504419927578,4.162737508514909,3.9797598618521217,4.116992950439453,1303500,0.0,0.0
1995-05-24,4.116990685065359,4.116990685065359,4.0255022048950195,4.0255022048950195,989700,0.0,0.0
1995-05-25,4.025501894209291,4.025501894209291,3.8882688917259816,3.9340131282806396,510500,0.0,0.0
1995-05-26,3.9797585010528564,3.9797585010528564,3.9340142514382554,3.9797585010528564,613600,0.0,0.0
1995-05-30,3.934013604883917,4.162735401005379,3.8425248278714577,4.07124662399292,1501500,0.0,0.0
1995-05-31,3.979757671990492,4.116990685065359,3.9340134319053224,4.0255022048950195,2193900,0.0,0.0
1995-06-01,3.9797585010528564,4.025503043486876,3.8882700018236545,3.9797585010528564,1504500,0.0,0.0
1995-06-02,3.9340131282806396,3.9797573648352973,3.8882688917259816,3.9340131282806396,834600,0.0,0.0
1995-06-05,3.9340134319053224,4.071246444980189,3.888269191820153,4.0255022048950195,3204000,0.0,0.0
1995-06-06,3.979757671990492,4.071246444980189,3.979757671990492,4.0255022048950195,2015100,0.0,0.0
1995-06-07,4.0255022048950195,4.116990685065359,3.979757671990492,4.0255022048950195,1190000,0.0,0.0
1995-06-08,4.025502381896375,4.162735401005379,4.025502381896375,4.07124662399292,1448100,0.0,0.0
1995-06-09,4.0255022048950195,4.116990685065359,4.0255022048950195,4.0255022048950195,1782800,0.0,0.0
1995-06-12,4.071246444980189,4.071246444980189,4.0255022048950195,4.0255022048950195,2554600,0.0,0.0
1995-06-13,3.9797578469804606,4.07124662399292,3.9797578469804606,4.07124662399292,1734400,0.0,0.0
1995-06-14,4.025502381896375,4.116990866089464,4.025502381896375,4.07124662399292,1136100,0.0,0.0
1995-06-15,4.071248685183516,4.208481773770846,4.071248685183516,4.116992950439453,1744800,0.0,0.0
1995-06-16,4.116990866089464,4.162735401005379,4.07124662399292,4.07124662399292,1245500,0.0,0.0
1995-06-19,4.071247616545993,4.162736415863037,4.025503363297192,4.162736415863037,1539000,0.0,0.0
1995-06-20,4.116992950439453,4.208481773770846,4.071248685183516,4.116992950439453,2288200,0.0,0.0
1995-06-21,4.116991542716078,4.116991542716078,3.9797585010528564,3.9797585010528564,1784200,0.0,0.0
1995-06-22,3.9797573648352973,4.025501894209291,3.8882688917259816,3.9340131282806396,2418000,0.0,0.0
1995-06-23,3.9797585010528564,4.116991542716078,3.9797585010528564,3.9797585010528564,1266300,0.0,0.0
1995-06-26,3.9797573648352973,4.0712461307639485,3.9340131282806396,3.9340131282806396,1429800,0.0,0.0
1995-06-27,3.934013604883917,4.116990866089464,3.934013604883917,4.07124662399292,1263800,0.0,0.0
1995-06-28,3.9797598618521217,4.116992950439453,3.9797598618521217,4.116992950439453,1961000,0.0,0.0
1995-06-29,4.025502381896375,4.162735401005379,4.025502381896375,4.07124662399292,1098100,0.0,0.0
1995-06-30,4.116991542716078,4.116991542716078,3.9797585010528564,3.9797585010528564,1102100,0.0,0.0
1995-07-03,3.9340134319053224,4.0255022048950195,3.9340134319053224,4.0255022048950195,299800,0.0,0.0
1995-07-05,3.9797578469804606,4.116990866089464,3.9797578469804606,4.07124662399292,938400,0.0,0.0
1995-07-06,4.071247293101477,4.116991542716078,3.9797585010528564,3.9797585010528564,1517000,0.0,0.0
1995-07-07,3.9797578469804606,4.116990866089464,3.888269362787373,4.07124662399292,1615700,0.0,0.0
1995-07-10,4.025501894209291,4.0712461307639485,3.9340131282806396,3.9340131282806396,627200,0.0,0.0
1995-07-11,3.8882688917259816,4.025501894209291,3.8882688917259816,3.9340131282806396,1358800,0.0,0.0
1995-07-12,3.934013542483277,3.934013542483277,3.842524766921997,3.842524766921997,1030300,0.0,0.0
