,L5_AVG_TOUCHES,L10_AVG_TOUCHES,DIFF_AVG_TOUCHES,L5_MED_TOUCHES,L10_MED_TOUCHES,DIFF_MED_TOUCHES,L5_AVG_FANTPTS,L10_AVG_FANTPTS,DIFF_AVG_FANTPTS,L5_MED_FANTPTS,L10_MED_FANTPTS,DIFF_MED_FANTPTS,SPECIAL_SAUCE_V1,SPECIAL_SAUCE_V2,SS_MESHED,EXCESS_L5_AVG_TOUCHES,EXCESS_SS1,EXCESS_SS2
CHRISTIAN MCCAFFREY,24.0,24.6,-0.6000000000000014,26.0,25.5,0.5,21.3,20.41,0.8900000000000006,20.8,19.950000000000003,0.8900000000000006,20.855,20.587500000000002,20.196000000000005,16.26082251082251,15.65889739229025,16.31761363636364
DALVIN COOK,30.0,27.3,2.6999999999999993,32.0,26.5,5.5,18.5,21.759999999999998,-3.259999999999998,17.9,18.95,-3.259999999999998,20.13,18.162499999999998,18.612000000000002,22.26082251082251,14.933897392290248,13.892613636363635
ANTONIO GIBSON,17.6,16.0,1.6000000000000014,17.0,16.5,0.5,18.96,14.540000000000001,4.42,18.5,13.799999999999999,4.42,16.75,17.325,15.3648,9.860822510822512,11.55389739229025,13.055113636363636
NICK CHUBB,17.2,16.9,0.3000000000000007,19.0,19.0,0.0,14.9,13.61,1.290000000000001,16.6,14.0,1.290000000000001,14.254999999999999,15.950000000000001,14.157,9.46082251082251,9.058897392290248,11.680113636363638
JAMES ROBINSON,24.0,21.8,2.1999999999999993,25.0,22.5,2.5,15.040000000000001,15.280000000000001,-0.2400000000000002,15.9,13.600000000000001,-0.2400000000000002,15.16,15.325000000000001,13.939200000000001,16.26082251082251,9.96389739229025,11.055113636363638
SAQUON BARKLEY,19.8,19.8,0.0,21.0,20.0,1.0,18.66,13.010000000000002,5.649999999999999,17.700000000000003,8.1,5.649999999999999,15.835,15.300000000000002,11.5038,12.060822510822511,10.63889739229025,11.03011363636364
CHRIS CARSON,13.0,14.8,-1.8000000000000007,14.0,15.0,-1.0,13.780000000000001,14.360000000000003,-0.5800000000000018,13.9,15.350000000000001,-0.5800000000000018,14.070000000000002,14.262500000000001,14.678400000000003,5.2608225108225115,8.873897392290251,9.992613636363638
WAYNE GALLMAN,18.0,12.4,5.6,16.0,14.0,2.0,14.5,9.22,5.279999999999999,13.700000000000001,11.8,5.279999999999999,11.86,13.225000000000001,12.573,10.26082251082251,6.663897392290249,8.955113636363638
DERRICK HENRY,23.0,22.7,0.3000000000000007,21.0,21.5,-0.5,15.660000000000002,19.04,-3.3799999999999972,10.9,17.75,-3.3799999999999972,17.35,12.6125,16.8828,15.26082251082251,12.15389739229025,8.342613636363637
RAHEEM MOSTERT,16.0,15.0,1.0,18.0,14.5,3.5,13.120000000000001,15.040000000000001,-1.92,11.9,14.3,-1.92,14.080000000000002,12.5,13.767600000000002,8.26082251082251,8.883897392290251,8.230113636363637
