,L5_AVG_TOUCHES,L10_AVG_TOUCHES,DIFF_AVG_TOUCHES,L5_MED_TOUCHES,L10_MED_TOUCHES,DIFF_MED_TOUCHES,L5_AVG_FANTPTS,L10_AVG_FANTPTS,DIFF_AVG_FANTPTS,L5_MED_FANTPTS,L10_MED_FANTPTS,DIFF_MED_FANTPTS,SPECIAL_SAUCE_V1,SPECIAL_SAUCE_V2,SS_MESHED,EXCESS_L5_AVG_TOUCHES,EXCESS_SS1,EXCESS_SS2
TYREEK HILL,9.4,7.4,2.0,10.0,6.5,3.5,23.12,17.35,5.77,21.8,15.650000000000002,5.77,20.235,20.262500000000003,17.958600000000004,6.641707717569787,15.759781355070764,16.813977832512318
DAVANTE ADAMS,8.2,8.4,-0.20000000000000107,8.0,7.5,0.5,17.340000000000003,17.89,-0.5499999999999972,16.6,19.950000000000003,-0.5499999999999972,17.615000000000002,17.4375,18.889200000000006,5.441707717569786,13.139781355070767,13.988977832512315
JUSTIN JEFFERSON,6.2,5.7,0.5,7.0,5.5,1.5,14.36,13.910000000000002,0.4499999999999975,14.6,14.05,0.4499999999999975,14.135000000000002,14.462499999999999,14.011800000000001,3.4417077175697863,9.659781355070766,11.013977832512314
ADAM THIELEN,5.0,5.4,-0.40000000000000036,4.0,4.0,0.0,12.120000000000001,12.260000000000002,-0.14000000000000057,13.5,12.3,-0.14000000000000057,12.190000000000001,13.2,12.117600000000001,2.241707717569786,7.714781355070765,9.751477832512315
A.J. BROWN,3.4,4.4,-1.0000000000000004,4.0,4.0,0.0,10.580000000000002,11.85,-1.2699999999999978,12.2,13.2,-1.2699999999999978,11.215,12.45,12.2034,0.6417077175697861,6.739781355070764,9.001477832512315
BRANDON AIYUK,5.8,5.0,0.7999999999999998,6.0,5.0,1.0,12.4,10.68888888888889,1.7111111111111104,12.7,11.600000000000001,1.7111111111111104,11.544444444444444,12.424999999999999,11.748000000000001,3.041707717569786,7.069225799515208,8.976477832512314
CURTIS SAMUEL,8.0,7.5,0.5,7.0,7.0,0.0,11.500000000000002,8.91,2.5900000000000016,13.4,7.050000000000001,2.5900000000000016,10.205000000000002,11.8125,8.448,5.241707717569787,5.729781355070766,8.363977832512315
KENNY GOLLADAY,4.0,4.2,-0.20000000000000018,4.0,4.0,0.0,9.16,10.36,-1.1999999999999993,11.4,11.55,-1.1999999999999993,9.76,11.4375,10.645800000000001,1.2417077175697862,5.284781355070764,7.988977832512315
MIKE EVANS,4.6,4.0,0.5999999999999996,5.0,4.5,0.5,11.9,10.47,1.4299999999999997,11.5,11.2,1.4299999999999997,11.185,11.425,11.318999999999999,1.8417077175697858,6.709781355070764,7.976477832512316
GABRIEL DAVIS,2.0,2.2,-0.20000000000000018,3.0,2.0,1.0,7.94,6.4,1.54,12.8,6.95,1.54,7.17,11.337500000000002,7.2072,-0.7582922824302138,2.6947813550707638,7.888977832512317
D.K. METCALF,5.4,5.5,-0.09999999999999964,5.0,4.5,0.5,11.180000000000001,13.320000000000002,-2.1400000000000006,10.600000000000001,12.8,-2.1400000000000006,12.250000000000002,11.150000000000002,12.137400000000001,2.6417077175697865,7.774781355070766,7.701477832512317
CALVIN RIDLEY,4.8,5.2,-0.40000000000000036,5.0,5.5,-0.5,9.580000000000002,10.899999999999999,-1.3199999999999967,10.8,11.35,-1.3199999999999967,10.24,10.937500000000002,10.652400000000002,2.041707717569786,5.764781355070764,7.488977832512317
DIONTAE JOHNSON,8.2,6.1,2.0999999999999996,8.0,7.5,0.5,10.900000000000002,9.1,1.8000000000000025,11.100000000000001,9.600000000000001,1.8000000000000025,10.0,10.725000000000001,9.933000000000002,5.441707717569786,5.524781355070764,7.276477832512317
KEENAN ALLEN,7.4,7.9,-0.5,5.0,8.5,-3.5,11.9,11.7,0.20000000000000107,10.0,11.25,0.20000000000000107,11.8,10.3125,11.352,4.641707717569787,7.3247813550707646,6.863977832512315
WILL FULLER,5.0,4.6,0.40000000000000036,5.0,5.0,0.0,13.280000000000001,12.469999999999999,0.8100000000000023,9.5,11.600000000000001,0.8100000000000023,12.875,10.025,12.038400000000003,2.241707717569786,8.399781355070765,6.576477832512316
JULIO JONES,5.6,5.8,-0.20000000000000018,6.0,6.5,-0.5,9.620000000000001,10.290000000000003,-0.6700000000000017,9.700000000000001,9.55,-0.6700000000000017,9.955000000000002,9.662500000000001,9.4776,2.841707717569786,5.479781355070766,6.213977832512317
CHRIS GODWIN,6.6,6.1,0.5,7.0,6.0,1.0,9.820000000000002,9.540000000000001,0.28000000000000114,9.700000000000001,9.450000000000001,0.28000000000000114,9.680000000000001,9.637500000000001,9.477600000000002,3.841707717569786,5.204781355070765,6.188977832512316
STEFON DIGGS,8.4,7.4,1.0,9.0,6.5,2.5,9.879999999999999,9.780000000000001,0.09999999999999787,9.200000000000001,10.600000000000001,0.09999999999999787,9.83,9.55,10.256400000000001,5.641707717569787,5.354781355070764,6.101477832512316
MARVIN JONES,5.8,4.3,1.5,6.0,3.5,2.5,10.680000000000001,8.41,2.2700000000000014,10.3,6.550000000000001,2.2700000000000014,9.545000000000002,9.3625,7.847400000000001,3.041707717569786,5.0697813550707655,5.913977832512316
JUJU SMITH-SCHUSTER,6.8,6.0,0.7999999999999998,7.0,6.5,0.5,8.679999999999998,7.2299999999999995,1.4499999999999984,9.7,7.6,1.4499999999999984,7.954999999999998,9.174999999999999,7.8804,4.0417077175697855,3.479781355070762,5.726477832512314
TERRY MCLAURIN,5.8,6.1,-0.2999999999999998,7.0,7.0,0.0,9.34,9.21,0.129999999999999,9.200000000000001,8.900000000000002,0.129999999999999,9.275,9.125,8.956200000000003,3.041707717569786,4.799781355070764,5.676477832512315
TIM PATRICK,3.4,3.6,-0.20000000000000018,4.0,4.0,0.0,8.66,8.780000000000001,-0.120000000000001,8.9,9.5,-0.120000000000001,8.72,9.05,9.1278,0.6417077175697861,4.2447813550707645,5.601477832512316
ROBERT WOODS,9.4,7.9,1.5,9.0,7.5,1.5,12.180000000000001,10.67,1.5100000000000016,8.8,9.4,1.5100000000000016,11.425,8.950000000000001,10.223400000000002,6.641707717569787,6.9497813550707646,5.501477832512316
TEE HIGGINS,5.6,5.5,0.09999999999999964,5.0,5.0,0.0,8.5,10.02,-1.5199999999999996,8.4,9.7,-1.5199999999999996,9.26,8.725000000000001,9.207,2.841707717569786,4.784781355070764,5.276477832512317
TYLER BOYD,5.4,6.6,-1.1999999999999993,6.0,7.0,-1.0,8.18,9.100000000000001,-0.9200000000000017,8.5,8.95,-0.9200000000000017,8.64,8.6125,8.6064,2.6417077175697865,4.164781355070764,5.163977832512316
