Player,Position,Games,Passing Yards,Passing TD,Rushing TD,Interceptions,Rushing Yards,P/G,Total Points
Lamar Jackson,QB,15,125.08,144,42,-12,120.60000000000001,27.978666666666665,419.68
Matthew Stafford,QB,8,99.96000000000001,76,0,-10,6.6000000000000005,21.57,172.56
Dak Prescott,QB,16,196.08,120,18,-22,27.700000000000003,21.236250000000002,339.78000000000003
Deshaun Watson ,QB,15,154.08,104,42,-24,41.300000000000004,21.15866666666667,317.38000000000005
Russell Wilson ,QB,16,164.4,124,18,-10,34.2,20.662499999999998,330.59999999999997
Patrick Mahomes ,QB,14,161.24,104,12,-10,21.8,20.645714285714288,289.04
Drew Brees,QB,11,119.16,108,6,-8,-0.4,20.432727272727274,224.76
Jameis Winston,QB,16,204.36,132,6,-60,25.0,19.21,307.36
Ryan Tannehill,QB,12,109.68,88,24,-12,18.5,19.015,228.18
Matt Ryan,QB,15,178.64000000000001,104,6,-28,14.700000000000001,18.355999999999998,275.34
Josh Allen,QB,16,123.56,80,54,-18,51.0,18.16,290.56
Daniel Jones,QB,13,121.08,96,12,-24,27.900000000000002,17.92153846153846,232.98
Carson Wentz,QB,16,161.56,108,6,-14,24.3,17.86625,285.86
Kyler Murray,QB,16,148.88,80,24,-24,54.400000000000006,17.705,283.28
Aaron Rodgers ,QB,16,160.08,104,6,-8,18.3,17.523750000000003,280.38000000000005
Gardner Minshew II,QB,14,130.84,84,0,-12,34.4,16.945714285714285,237.24
Kirk Cousins ,QB,15,144.12,104,6,-12,6.300000000000001,16.561333333333334,248.42000000000002
Tom Brady,QB,16,162.28,96,18,-16,3.4000000000000004,16.479999999999997,263.67999999999995
Ryan Fitzpatrick,QB,15,141.16,80,24,-26,24.3,16.230666666666668,243.46
Jared Goff,QB,16,185.52,88,12,-32,4.0,16.095,257.52
Andy Dalton,QB,13,139.76,64,24,-28,7.300000000000001,15.927692307692308,207.06
Jimmy Garoppolo,QB,16,159.12,108,6,-26,6.2,15.8325,253.32
Derek Carr,QB,16,162.16,84,12,-16,8.200000000000001,15.647499999999997,250.35999999999996
Philip Rivers,QB,16,184.6,92,0,-40,2.9000000000000004,14.968750000000002,239.50000000000003
Jacoby Brissett,QB,15,117.68,72,24,-12,22.8,14.965333333333335,224.48000000000002
Kyle Allen,QB,13,132.88,68,12,-32,10.600000000000001,14.72923076923077,191.48
Sam Darnold,QB,13,120.96000000000001,76,12,-26,6.2,14.55076923076923,189.16
Baker Mayfield,QB,16,153.08,88,18,-42,14.100000000000001,14.448750000000002,231.18000000000004
Mitchell Trubisky,QB,15,125.52,68,12,-20,19.3,13.654666666666666,204.82
Joe Flacco,QB,8,72.88,24,0,-10,2.0,11.11,88.88
Case Keenum,QB,10,68.28,44,6,-10,1.2000000000000002,10.948,109.48
Mason Rudolph,QB,10,70.60000000000001,52,0,-18,4.2,10.88,108.80000000000001
Teddy Bridgewater,QB,9,55.36,36,0,-4,3.1,10.05111111111111,90.46
Dwayne Haskins,QB,9,54.6,28,0,-14,10.100000000000001,8.744444444444444,78.69999999999999
Devlin Hodges,QB,8,42.52,20,0,-16,6.800000000000001,6.665000000000001,53.32000000000001
