,Position,Games,Rushing Yards,Rushing TD,Receptions,Receiving Yards,Receiving TD,P/G,Total Points
Christian McCaffrey ,RB,16,138.70000000000002,90,116,100.5,24,29.325000000000003,469.20000000000005
Michael Thomas,WR,16,-0.9,0,149,172.5,54,23.4125,374.6
Dalvin Cook,RB,14,113.5,78,53,51.900000000000006,0,21.17142857142857,296.4
Derrick Henry ,RB,15,154.0,96,18,20.6,12,20.040000000000003,300.6
Aaron Jones,RB,16,108.4,96,49,47.400000000000006,18,19.925,318.8
Ezekiel Elliott,RB,16,135.70000000000002,72,54,42.0,12,19.731250000000003,315.70000000000005
Chris Godwin,WR,14,0.8,0,86,133.3,54,19.57857142857143,274.1
Austin Ekeler,RB,16,55.7,18,92,99.30000000000001,48,19.5625,313.0
Saquon Barkley,RB,13,100.30000000000001,36,52,43.800000000000004,12,18.77692307692308,244.10000000000002
Julio Jones ,WR,15,-0.30000000000000004,0,99,139.4,36,18.273333333333333,274.1
Alvin Kamara,RB,14,79.7,30,81,53.300000000000004,6,17.857142857142858,250.0
Mike Evans,WR,13,0,0,67,115.7,48,17.746153846153845,230.7
Davante Adams,,12.0,0.0,0.0,83.0,99.7,30.0,17.724999999999998,212.7
DeAndre Hopkins,WR,15,1.8,0,104,116.5,42,17.62,264.3
Leonard Fournette,RB,15,115.2,18,76,52.2,0,17.426666666666666,261.4
Cooper Kupp,WR,16,0.4,0,94,116.10000000000001,60,16.90625,270.5
Keenan Allen,WR,16,1.6,0,104,119.9,36,16.34375,261.5
Nick Chubb,RB,16,149.4,48,36,27.8,0,16.325000000000003,261.20000000000005
Mark Ingram,RB,15,101.80000000000001,60,26,24.700000000000003,30,16.166666666666668,242.5
Chris Carson,RB,15,123.0,42,37,26.6,12,16.04,240.6
Travis Kelce,TE,16,0.4,6,97,122.9,30,16.01875,256.3
Allen Robinson,WR,16,0.2,0,98,114.7,42,15.93125,254.9
George Kittle,TE,14,2.2,0,85,105.30000000000001,30,15.892857142857142,222.5
Tyreek Hill,WR,12,2.3000000000000003,0,58,86.0,42,15.691666666666668,188.3
Julian Edelman,WR,16,2.7,0,100,111.7,36,15.65,250.4
Kenny Golladay,,16.0,0.0,0.0,65.0,119.0,66.0,15.625,250.0
Melvin Gordon,RB,12,61.2,48,42,29.6,6,15.566666666666668,186.8
Robert Woods,WR,15,11.5,6,90,113.4,12,15.526666666666667,232.9
D.J. Moore,WR,15,4.0,0,87,117.5,24,15.5,232.5
Amari Cooper,WR,16,0.6000000000000001,0,79,118.9,48,15.40625,246.5
DeVante Parker,WR,16,0,0,72,120.2,54,15.3875,246.2
Kenyan Drake,,14.0,81.7,48.0,50.0,34.5,0.0,15.299999999999999,214.2
Michael Gallup,WR,14,0,0,66,110.7,36,15.192857142857141,212.7
Calvin Ridley,WR,13,3.4000000000000004,0,63,86.60000000000001,42,15.0,195.0
DJ Chark,WR,15,2.0,0,73,100.80000000000001,48,14.92,223.8
