Player,Rk,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Code,FantPt/G,PPR/G
George Kittle,16,SFO,TE,26,14,14,0,0,0,0,0,5,22,4.4,0,107,85,1053,12.39,5,1,0,5,,,138.0,222.5,225.5,180.0,61.0,3,16.0,KittGe00,9.857142857142858,15.892857142857142
Travis Kelce,8,KAN,TE,30,16,16,0,0,0,0,0,1,4,4.0,1,136,97,1229,12.67,5,1,1,6,,,157.0,254.3,258.3,205.8,80.0,1,8.0,KelcTr00,9.8125,15.89375
Mark Andrews,13,BAL,TE,23,15,4,0,0,0,0,0,0,0,,0,98,64,852,13.31,10,2,1,10,,,143.0,207.2,211.2,175.2,66.0,2,13.0,AndrMa00,9.533333333333333,13.813333333333333
Austin Hooper,31,ATL,TE,25,13,10,0,0,0,0,0,0,0,,0,97,75,787,10.49,6,0,0,6,1.0,,117.0,191.7,194.7,154.2,40.0,7,31.0,HoopAu00,9.0,14.746153846153845
Jared Cook,25,NOR,TE,32,14,7,0,0,0,0,0,0,0,,0,65,43,705,16.4,9,0,0,9,,,125.0,167.5,170.5,146.0,48.0,6,25.0,CookJa02,8.928571428571429,11.964285714285714
Zach Ertz,22,PHI,TE,29,15,15,0,0,0,0,0,0,0,,0,135,88,916,10.41,6,1,1,6,1.0,,128.0,215.6,219.6,171.6,51.0,5,22.0,ErtzZa00,8.533333333333333,14.373333333333333
Darren Waller,19,OAK,TE,27,16,16,0,0,0,0,0,2,5,2.5,0,117,90,1145,12.72,3,1,1,3,,,131.0,221.0,225.0,176.0,54.0,4,19.0,WallDa01,8.1875,13.8125
Evan Engram,180,NYG,TE,25,8,6,0,0,0,0,0,3,7,2.33,0,68,44,467,10.61,3,0,0,3,,,65.0,109.4,112.4,87.4,,19,,EngrEv00,8.125,13.675
Hunter Henry,54,LAC,TE,25,12,12,0,0,0,0,0,0,0,,0,76,55,652,11.85,5,1,1,5,1.0,,95.0,150.2,154.2,122.7,18.0,8,54.0,HenrHu00,7.916666666666667,12.516666666666666
Tyler Higbee,57,LAR,TE,26,15,15,0,0,0,0,0,0,0,,0,89,69,734,10.64,3,0,0,3,,,91.0,160.4,163.4,125.9,15.0,9,57.0,HigbTy00,6.066666666666666,10.693333333333333
Dallas Goedert,62,PHI,TE,24,15,9,0,0,0,0,0,0,0,,0,87,58,607,10.47,5,2,2,5,,,87.0,144.7,149.7,115.7,10.0,10,62.0,GoedDa00,5.8,9.646666666666667
Mike Gesicki,64,MIA,TE,24,16,5,0,0,0,0,0,0,0,,0,89,51,570,11.18,5,1,1,5,,,85.0,136.0,140.0,110.5,8.0,11,64.0,GesiMi00,5.3125,8.5
Greg Olsen,168,CAR,TE,34,14,14,0,0,0,0,0,0,0,,0,82,52,597,11.48,2,0,0,2,,,72.0,123.7,126.7,97.7,,15,,OlseGr00,5.142857142857143,8.835714285714285
Eric Ebron,197,IND,TE,26,11,2,0,0,0,0,0,0,0,,0,52,31,375,12.1,3,0,0,3,,,56.0,86.5,89.5,71.0,,23,,EbroEr00,5.090909090909091,7.863636363636363
Kaden Smith,235,NYG,TE,22,9,6,0,0,0,0,0,0,0,,0,42,31,268,8.65,3,2,0,3,,,45.0,75.8,78.8,60.3,,37,,SmitKa00,5.0,8.422222222222222
Ryan Griffin,183,NYJ,TE,29,13,13,0,0,0,0,0,0,0,,0,41,34,320,9.41,5,0,0,5,1.0,,64.0,98.0,101.0,81.0,,20,,GrifRy00,4.923076923076923,7.538461538461538
Jacob Hollister,209,SEA,TE,26,11,3,0,0,0,0,0,0,0,,0,59,41,349,8.51,3,0,0,3,,,53.0,93.9,96.9,73.4,,27,,HollJa03,4.818181818181818,8.536363636363637
Jason Witten,77,DAL,TE,37,16,16,0,0,0,0,0,0,0,,0,83,63,529,8.4,4,1,1,4,1.0,,77.0,139.9,143.9,108.4,,12,77.0,WittJa00,4.8125,8.74375
Darren Fells,157,HOU,TE,33,16,14,0,0,0,0,0,0,0,,0,48,34,341,10.03,7,0,0,7,,,76.0,110.1,113.1,93.1,,13,,FellDa01,4.75,6.88125
Kyle Rudolph,161,MIN,TE,30,16,16,0,0,0,0,0,0,0,,0,48,39,367,9.41,6,0,0,6,1.0,,75.0,113.7,116.7,94.2,,14,,RudoKy00,4.6875,7.10625
Noah Fant,170,DEN,TE,22,16,11,0,0,0,0,0,3,-12,-4.0,0,66,40,562,14.05,3,1,1,3,,,71.0,111.0,115.0,91.0,,16,,FantNo00,4.4375,6.9375
Jonnu Smith,172,TEN,TE,24,16,14,0,0,0,0,0,4,78,19.5,0,44,35,439,12.54,3,0,0,3,,,70.0,104.7,107.7,87.2,,17,,SmitJo01,4.375,6.54375
Jack Doyle,173,IND,TE,29,16,16,0,0,0,0,0,0,0,,0,72,43,448,10.42,4,1,0,4,,,69.0,111.8,114.8,90.3,,18,,DoylJa00,4.3125,6.9875
T.J. Hockenson,222,DET,TE,22,12,7,0,0,0,0,0,0,0,,0,59,32,367,11.47,2,0,0,2,,,49.0,80.7,83.7,64.7,,32,,HockTJ00,4.083333333333333,6.7250000000000005
Gerald Everett,208,LAR,TE,25,13,2,0,0,0,0,0,1,0,0.0,0,60,37,408,11.03,2,0,0,2,,,53.0,89.8,92.8,71.3,,28,,EverGe00,4.076923076923077,6.907692307692307
Tyler Eifert,182,CIN,TE,29,16,4,0,0,0,0,0,0,0,,0,63,43,436,10.14,3,0,0,3,1.0,,64.0,106.6,109.6,85.1,,21,,EifeTy00,4.0,6.6625
Jimmy Graham,186,GNB,TE,33,16,10,0,0,0,0,0,0,0,,0,60,38,447,11.76,3,1,0,3,,,63.0,100.7,103.7,81.7,,22,,GrahJi00,3.9375,6.29375
Foster Moreau,228,OAK,TE,22,13,7,0,0,0,0,0,0,0,,0,25,21,174,8.29,5,0,0,5,,,47.0,68.4,71.4,57.9,,33,,MoreFo00,3.6153846153846154,5.261538461538462
O.J. Howard,219,TAM,TE,25,14,14,0,0,0,0,0,0,0,,0,53,34,459,13.5,1,1,1,1,,,50.0,83.9,87.9,66.9,,31,,HowaO.00,3.5714285714285716,5.992857142857143
Dawson Knox,213,BUF,TE,23,15,11,0,0,0,0,0,1,9,9.0,0,50,28,388,13.86,2,0,0,2,,,52.0,79.7,82.7,65.7,,29,,KnoxDa00,3.466666666666667,5.3133333333333335
Cameron Brate,200,TAM,TE,28,16,6,0,0,0,0,0,0,0,,0,55,36,311,8.64,4,0,0,4,,,55.0,91.1,94.1,73.1,,24,,BratCa00,3.4375,5.69375
Blake Jarwin,202,DAL,TE,25,16,7,0,0,0,0,0,0,0,,0,41,31,365,11.77,3,1,0,3,,,55.0,85.5,88.5,70.0,,25,,JarwBl00,3.4375,5.34375
Jordan Akins,204,HOU,TE,27,16,9,0,0,0,0,0,0,0,,0,55,36,418,11.61,2,0,0,2,,,54.0,89.8,92.8,71.8,,26,,AkinJo00,3.375,5.6125
Vance McDonald,231,PIT,TE,29,14,14,0,0,0,0,0,1,2,2.0,0,55,38,273,7.18,3,1,0,3,,,46.0,83.5,86.5,64.5,,35,,McDoVa00,3.2857142857142856,5.964285714285714
Ricky Seals-Jones,234,CLE,TE,24,14,3,0,0,0,0,0,0,0,,0,22,14,229,16.36,4,1,1,4,,,45.0,58.9,62.9,51.9,,36,,SealRi00,3.2142857142857144,4.207142857142857
Hayden Hurst,227,BAL,TE,26,16,4,0,0,0,0,0,0,0,,0,39,30,349,11.63,2,0,0,2,,,47.0,76.9,79.9,61.9,,34,,HursHa00,2.9375,4.80625
Nick Boyle,236,BAL,TE,26,16,15,0,0,0,0,0,0,0,,0,43,31,321,10.35,2,0,0,2,,,44.0,75.1,78.1,59.6,,38,,BoylNi00,2.75,4.69375
Irv Smith Jr.,239,MIN,TE,21,16,7,0,0,0,0,0,0,0,,0,47,36,311,8.64,2,1,0,2,,,43.0,79.1,82.1,61.1,,39,,SmitIr01,2.6875,4.94375
Josh Hill,246,NOR,TE,29,16,11,0,0,0,0,0,0,0,,0,35,25,226,9.04,3,0,0,3,,,41.0,65.6,68.6,53.1,,40,,HillJo02,2.5625,4.1
Demetrius Harris,266,CLE,TE,28,15,6,0,0,0,0,0,0,0,,0,27,15,149,9.93,3,0,0,3,1.0,,35.0,49.9,52.9,42.4,,42,,HarrDe03,2.3333333333333335,3.3266666666666667
Rhett Ellison,316,NYG,TE,31,10,7,0,0,0,0,0,0,0,,0,28,18,167,9.28,1,0,0,1,,,23.0,40.7,43.7,31.7,,51,,ElliRh00,2.3,4.07
C.J. Uzomah,265,CIN,TE,26,16,16,0,0,0,0,0,0,0,,0,40,27,242,8.96,2,0,0,2,,,36.0,63.2,66.2,49.7,,41,,UzomC.00,2.25,3.95
Charles Clay,280,ARI,TE,30,15,10,0,0,0,0,0,0,0,,0,24,18,237,13.17,1,0,0,1,,,30.0,47.7,50.7,38.7,,45,,ClayCh00,2.0,3.18
