Player,Rk,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Code,FantPt/G,PPR/G
Michael Thomas,7,NOR,WR,26,16,15,0,0,0,0,0,1,-9,-9.0,0,185,149,1725,11.58,9,1,0,9,,,226.0,374.6,377.6,300.1,97.0,1,7.0,ThomMi05,14.125,23.4125
Chris Godwin,15,TAM,WR,23,14,14,0,0,0,0,0,1,8,8.0,0,121,86,1333,15.5,9,0,0,9,1.0,,190.0,276.1,279.1,233.1,61.0,2,15.0,GodwCh00,13.571428571428571,19.72142857142857
Mike Evans,33,TAM,WR,26,13,13,0,0,0,0,0,0,0,,0,118,67,1157,17.27,8,0,0,8,1.0,,166.0,232.7,235.7,199.2,37.0,8,33.0,EvanMi00,12.76923076923077,17.9
Julio Jones,27,ATL,WR,30,15,15,0,0,0,0,0,2,-3,-1.5,0,157,99,1394,14.08,6,1,0,6,,,175.0,274.1,277.1,224.6,46.0,5,27.0,JoneJu02,11.666666666666666,18.273333333333333
Kenny Golladay,20,DET,WR,26,16,16,0,0,0,0,0,0,0,,0,116,65,1190,18.31,11,1,1,11,,,183.0,248.0,252.0,215.5,54.0,3,20.0,GollKe00,11.4375,15.5
Cooper Kupp,26,LAR,WR,26,16,14,0,1,0,0,0,2,4,2.0,0,134,94,1161,12.35,10,3,0,10,,,177.0,270.5,273.5,223.5,47.0,4,26.0,KuppCo00,11.0625,16.90625
DeAndre Hopkins,35,HOU,WR,27,15,15,1,2,6,1,1,2,18,9.0,0,150,104,1165,11.2,7,0,0,7,1.0,,165.0,268.5,272.5,217.5,35.0,10,35.0,HopkDe00,11.0,17.9
DeVante Parker,28,MIA,WR,26,16,14,0,0,0,0,0,0,0,,0,128,72,1202,16.69,9,0,0,9,,,174.0,246.2,249.2,210.2,45.0,6,28.0,ParkDe01,10.875,15.3875
Davante Adams,74,GNB,WR,27,12,12,0,0,0,0,0,0,0,,0,127,83,997,12.01,5,2,1,5,1.0,,130.0,212.7,216.7,171.2,1.0,29,74.0,AdamDa01,10.833333333333334,17.724999999999998
Tyreek Hill,73,KAN,WR,25,12,12,0,0,0,0,0,8,23,2.88,0,89,58,860,14.83,7,0,0,7,,,130.0,188.3,191.3,159.3,1.0,28,73.0,HillTy00,10.833333333333334,15.691666666666668
