,Mean,Median,STD,+1SD,-1SD,L5 Rel to Self,.30,.70,L5 Touches,L5 Touches Rel to Self,L5 Avg FP/G,Mean Rel to Peers,SD Rel to Peers,Touches Rel to Peers,Mean Rel to Peers RK,STD Rel to Peers RK,Avg Rank Rel to Peers
Alvin Kamara,0.8677869861729864,0.6819298245614036,0.47063609494177333,1.3384230811147597,0.3971508912312131,0.512413698906588,0.5173657289002558,1.1168,19.8,0.2944246725056838,21.92,0.4106519544511891,-0.27301210848995255,17.16287092054672,14.0,42.0,28.0
Derrick Henry,0.8929270169777733,0.8161257606490872,0.5291892284999687,1.422116245477742,0.3637377884778046,-0.12679163003208557,0.5344444444444444,1.0795,26.2,0.9107807794150319,20.64,0.49894702029045696,-0.1583152468234869,23.562870920546718,12.0,51.0,31.5
Dalvin Cook,0.7684220234627369,0.7574675324675324,0.29715780478034376,1.0655798282430806,0.47126421868239315,0.6344294735522958,0.6575,0.9451724137931035,20.8,0.19974475518382928,19.46,0.06166925062143358,-0.6128302230747957,18.16287092054672,26.0,11.0,18.5
Aaron Jones,0.9110303853827701,0.7944444444444445,0.5061869134500877,1.417217298832858,0.40484347193268244,0.18127349397572576,0.6314035087719299,1.1378181818181818,18.6,0.363146086384474,19.4,0.5625284103708286,-0.20337335365670176,15.96287092054672,10.0,47.0,28.5
Ezekiel Elliott,0.710453245494796,0.6583717357910907,0.26550781007166957,0.9759610555664656,0.4449454354231265,0.32069397311596987,0.5503333333333333,0.8307857142857142,22.6,-0.21713359762274115,17.94,-0.14192465533060905,-0.6748278454776547,19.96287092054672,33.0,8.0,20.5
Kareem Hunt,1.1232758616046281,0.692063492063492,1.59254356100688,2.715819422611508,-0.469267699402252,-0.03820840223764354,0.61,1.0486290322580647,15.8,-0.06880735392806478,14.920000000000002,1.3079621945461206,1.9246374043230794,13.16287092054672,7.0,68.0,37.5
Chris Carson,0.7094808881134346,0.6816498316498316,0.2552352438574904,0.964716131970925,0.45424564425594416,1.1286891581992746,0.5628846153846154,0.7725,16.4,-0.6245524713534361,15.780000000000001,-0.14533970122586953,-0.6949502716302411,13.762870920546717,34.0,7.0,20.5
Joe Mixon,0.6050065014754592,0.5735177865612648,0.2690166821020697,0.874023183577529,0.3359898193733895,-0.09670610821410382,0.4163684210526316,0.7202380952380952,24.0,0.5732723430965544,14.7,-0.51226736803528,-0.6679544881452733,21.36287092054672,54.0,9.0,31.5
Todd Gurley,0.8343666288530183,0.8487903225806452,0.34404057044420916,1.1784071992972274,0.4903260584088091,-0.2326752823816119,0.6490448343079922,1.0902488687782805,18.8,-0.024406953985929777,13.26,0.29327530233600646,-0.5209938727188367,16.16287092054672,16.0,21.0,18.5
Mike Davis,0.5447311226313772,0.5050000000000001,0.30570724123269966,0.8504383638640769,0.23902388139867758,0.6895558307743739,,,19.2,1.1043712535646075,14.419999999999998,-0.7239623569893773,-0.5960831513040339,16.562870920546718,64.0,13.0,38.5
