,Mean,Median,STD,+1SD,-1SD,L5 Rel to Self,.30,.70,L5 Touches,L5 Touches Rel to Self,L5 Avg FP/G,Mean Rel to Peers,SD Rel to Peers,Touches Rel to Peers,Mean Rel to Peers RK,STD Rel to Peers RK,Avg Rank Rel to Peers
Adam Thielen,2.1082176604757255,1.7399999999999998,1.5751600577171783,3.6833777181929035,0.5330576027585472,0.07230595397425676,,,5.8,-0.01324524708214329,12.400000000000002,0.9281941229871787,0.6292201478924754,1.7756479006775532,14.0,71.0,42.5
Calvin Ridley,1.8768970814132107,1.8399999999999999,1.0145568494895065,2.891453930902717,0.8623402319237041,0.30966657739908876,,,5.6,0.2577374078952672,12.219999999999999,0.3847844544997138,-0.44757134008740945,1.575647900677553,30.0,34.0,32.0
Tyreek Hill,2.1730785970302096,1.8333333333333333,1.1132149260729591,3.2862935231031685,1.0598636709572504,0.36271391657613306,,,5.6,-0.18687822074215912,14.26,1.0805630137002413,-0.2580715735388284,1.575647900677553,12.0,42.0,27.0
Will Fuller,1.8887462797619048,1.31,1.3921663299249225,3.280912609686827,0.4965799498369823,0.3169547422267366,0.8800000000000001,2.7775000000000003,4.2,0.027564541018646235,11.66,0.4126201488966484,0.2777307422871031,0.17564790067755354,27.0,64.0,45.5
DeAndre Hopkins,1.7452057404401153,1.425,0.909799728339477,2.655005468779592,0.8354060121006384,-0.1996944220327511,1.176388888888889,2.219,9.0,0.6504197611028396,12.960000000000003,0.0754200726929418,-0.6487859865683809,4.975647900677553,41.0,25.0,33.0
Robert Woods,1.5698738934676435,1.4000000000000001,0.787111966236212,2.3569858597038555,0.7827619272314315,0.39261360733064793,1.18275,1.69,6.0,-0.27007886792069496,10.52,-0.33646295658504155,-0.8844413234861902,1.9756479006775534,55.0,16.0,35.5
Mike Evans,2.7343764837313227,2.0200000000000005,2.2080381971328884,4.942414680864211,0.5263382865984343,0.03541376455427322,,,4.4,-0.13493683424482217,11.58,2.399143054313644,1.8448353699420472,0.3756479006775537,3.0,85.0,44.0
Odell Beckham Jr.,1.9376351686507938,1.4875,1.2271492529766055,3.1647844216273993,0.7104859156741883,0.3436016805715797,1.043,2.3445833333333335,4.6,-0.3223379772988558,12.180000000000001,0.5274681015150445,-0.03922959832712066,0.575647900677553,24.0,49.0,36.5
Robby Anderson,2.069298115079365,1.454761904761905,1.7138989309210086,3.7831970460003737,0.35539918415835636,-0.41952318443608727,1.13,2.1630555555555553,7.0,1.1145221877238158,9.1,0.8367657799178686,0.8957060251140945,2.9756479006775534,17.0,74.0,45.5
Stefon Diggs,2.063603132978133,1.6100000000000003,1.8678945415509705,3.9314976745291035,0.19570859142716257,-0.09410049429174544,1.1839772727272724,2.0050000000000003,7.2,0.3187061525386682,12.58,0.8233873405753138,1.1914966311594035,3.1756479006775535,18.0,79.0,48.5
Allen Robinson,1.6541889880952383,1.388095238095238,0.9979665025181949,2.652155490613433,0.6562224855770434,-0.21662950364538572,1.072,1.8175,7.0,0.5654719776056217,10.4,-0.13839308400492745,-0.4794376300749727,2.9756479006775534,50.0,32.0,41.0
Tyler Lockett,2.277267803880707,1.9454545454545453,1.8964490538630296,4.173716857743736,0.3808187500176774,-0.23843953934868062,,,6.0,0.2893425924444397,11.639999999999999,1.3253204087580317,1.2463433665147872,1.9756479006775534,8.0,80.0,44.0
