,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Rate,Sk,Yds.3,Y/A.1,AY/A,Rt,Yds.4,Y/Rt,TD.3,Ret,Yds.5,Y/R.1,TD.4,2PM,TD.5,Pts,Fmb,FL,FF,FR,Yds.6,TD.6,Num,Pct,Num.1,Pct.1,Num.2,Pct.2,FantPts,Touches,FP/Touch
0,1,2017,2017-09-11,1,1,22.048,NOR,@,MIN,L 19-29,,7,18.0,2.57,0.0,6,4,20.0,5.00,0.0,66.7%,3.33,0,0,,0,0,0,,0,0,,,1,26,26.00,0,0,0,,0,,0,0,0,0,0,0,0,0,31,50%,0,0%,8,28%,3.8,11,0.34545454545454546
1,2,2017,2017-09-17,2,2,22.054,NOR,,NWE,L 20-36,,1,3.0,3.00,0.0,7,3,51.0,17.00,0.0,42.9%,7.29,0,0,,0,0,0,,0,0,,,3,71,23.67,0,0,0,,0,,0,0,0,0,0,0,0,0,17,26%,0,0%,8,26%,5.4,4,1.35
2,3,2017,2017-09-24,3,3,22.061,NOR,@,CAR,W 34-13,,2,37.0,18.50,1.0,5,3,5.0,1.67,0.0,60.0%,1.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,17,29%,0,0%,4,15%,10.2,5,2.04
3,4,2017,2017-10-01,4,4,22.068,NOR,@,MIA,W 20-0,,5,25.0,5.00,0.0,10,10,71.0,7.10,1.0,100.0%,7.10,0,0,,0,0,0,,0,0,,,1,23,23.00,0,0,0,,0,,1,6,0,0,0,0,0,0,26,35%,0,0%,1,5%,15.600000000000001,15,1.04
4,5,2017,2017-10-15,5,6,22.082,NOR,,DET,W 52-38,*,10,75.0,7.50,0.0,3,3,12.0,4.00,0.0,100.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,31,44%,0,0%,7,15%,8.7,13,0.6692307692307692
5,6,2017,2017-10-22,6,7,22.089,NOR,@,GNB,W 26-17,,9,57.0,6.33,0.0,7,5,50.0,10.00,0.0,71.4%,7.14,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,37,49%,0,0%,0,0%,10.7,14,0.7642857142857142
6,7,2017,2017-10-29,7,8,22.096,NOR,,CHI,W 20-12,,8,28.0,3.50,1.0,3,3,48.0,16.00,0.0,100.0%,16.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,31,51%,0,0%,1,4%,13.600000000000001,11,1.2363636363636366
7,8,2017,2017-11-05,8,9,22.103,NOR,,TAM,W 30-10,,10,68.0,6.80,1.0,7,6,84.0,14.00,1.0,85.7%,12.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,1,1,0,0,0,0,26,43%,0,0%,1,4%,27.200000000000003,16,1.7000000000000002
8,9,2017,2017-11-12,9,10,22.110,NOR,@,BUF,W 47-10,,12,106.0,8.83,1.0,5,5,32.0,6.40,0.0,100.0%,6.40,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,29,38%,0,0%,1,4%,19.8,17,1.1647058823529413
9,10,2017,2017-11-19,10,11,22.117,NOR,,WAS,W 34-31,,8,42.0,5.25,0.0,9,6,74.0,12.33,1.0,66.7%,8.22,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,8,0,0,0,0,0,0,46,65%,0,0%,0,0%,17.6,14,1.2571428571428573
