,Average Goals For,STD Goals For
Edmonton Oilers,4.3,2.1470910553583886
Colorado Avalanche,3.7,1.7916472867168918
Florida Panthers,3.7,2.325940669922601
Washington Capitals,3.6,1.4966629547095764
St. Louis Blues,3.6,1.5620499351813308
Toronto Maple Leafs,3.5,1.6881943016134133
New York Islanders,3.4,1.8547236990991405
Pittsburgh Penguins,3.4,1.8547236990991407
New York Rangers,3.3,1.7916472867168916
Chicago Blackhawks,3.3,1.4177446878757827
Philadelphia Flyers,3.3,1.7916472867168918
New Jersey Devils,3.2,1.4696938456699071
Vancouver Canucks,3.2,1.8330302779823362
Boston Bruins,3.2,1.6
Tampa Bay Lightning,3.2,1.7204650534085253
Montreal Canadiens,3.1,1.3
Minnesota Wild,3.1,1.7578395831246947
Columbus Blue Jackets,2.7,1.3453624047073711
Nashville Predators,2.7,1.8466185312619388
Ottawa Senators,2.6,1.3564659966250536
Vegas Golden Knights,2.6,1.2
Dallas Stars,2.5,1.3601470508735443
Buffalo Sabres,2.4,1.42828568570857
Calgary Flames,2.4,1.2806248474865698
Anaheim Ducks,2.4,1.2
Carolina Hurricanes,2.4,1.2
Winnipeg Jets,2.2,1.6
Arizona Coyotes,2.2,1.6613247725836149
Los Angeles Kings,2.1,1.374772708486752
San Jose Sharks,2.0,1.2649110640673518
Detroit Red Wings,1.5,1.02469507659596
