,Home,Home Win Percent,Away,Away Win Percent,Home Odds,Away Odds,Adj Home Odds,Adj Away Odds
0,Arizona Coyotes,48.2,Carolina Hurricanes,51.8,2.0746887966804977,1.9305019305019304,1.9709543568464727,2.027027027027027
1,Buffalo Sabres,69.1,Detroit Red Wings,30.9,1.4471780028943562,3.236245954692557,1.3748191027496384,3.3980582524271847
2,Calgary Flames,45.43,Nashville Predators,54.56,2.201188641866608,1.8328445747800584,2.0911292097732774,1.9244868035190614
3,Edmonton Oilers,63.27,San Jose Sharks,36.73,1.58052789631737,2.7225701061802345,1.5015015015015014,2.8586986114892463
4,Florida Panthers,54.52,Vegas Golden Knights,45.48,1.834189288334556,2.198768689533861,1.7424798239178283,2.308707124010554
5,Minnesota Wild,50.68,Vancouver Canucks,49.32,1.9731649565903708,2.02757502027575,1.8745067087608522,2.1289537712895377
6,Montreal Canadiens,58.61,Anaheim Ducks,41.39,1.7061934823408975,2.4160425223483935,1.6208838082238526,2.5368446484658134
7,New York Islanders,57.64,Los Angeles Kings,42.36,1.7349063150589867,2.3607176581680833,1.6481609993060373,2.4787535410764874
8,Ottawa Senators,30.5,Colorado Avalanche,69.5,3.278688524590164,1.4388489208633093,3.1147540983606556,1.5107913669064748
9,Philadelphia Flyers,58.9,New Jersey Devils,41.1,1.697792869269949,2.4330900243309,1.6129032258064515,2.554744525547445
10,St. Louis Blues,56.19,Winnipeg Jets,43.81,1.7796760989499913,2.2825838849577718,1.6906922940024918,2.3967130792056603
11,Tampa Bay Lightning,52.0,Pittsburgh Penguins,48.0,1.923076923076923,2.0833333333333335,1.8269230769230766,2.1875000000000004
