,Home,Home Win Percent,Away,Away Win Percent,Home Odds,Away Odds,Adj Home Odds,Adj Away Odds
0,Boston Bruins,58.905,Arizona Coyotes,41.095,1.6976487564722857,2.4333860566978953,1.6127663186486714,2.55505535953279
1,Columbus Blue Jackets,48.326,Colorado Avalanche,51.674,2.069279476886148,1.9352091961141,1.9658155030418407,2.0319696559198053
2,Edmonton Oilers,48.297,Nashville Predators,51.703,2.070521978590803,1.9341237452372204,1.9669958796612625,2.0308299324990817
3,Florida Panthers,48.545,Pittsburgh Penguins,51.455,2.0599443815016993,1.94344572927801,1.9569471624266144,2.0406180157419107
4,Montreal Canadiens,45.733,Toronto Maple Leafs,54.267,2.186604858635996,1.8427405237068566,2.077274615704196,1.9348775498921995
5,New Jersey Devils,50.873,Los Angeles Kings,49.127,1.9656792404615415,2.0355405377898097,1.8673952784384644,2.1373175646793
6,St. Louis Blues,57.463,Dallas Stars,42.537,1.7402502479856605,2.3508945153630956,1.6532377355863774,2.4684392411312506
7,Tampa Bay Lightning,64.453,New York Islanders,35.547,1.5515181605200687,2.813176920696543,1.4739422524940653,2.95383576673137
8,Vancouver Canucks,52.878,Calgary Flames,47.122,1.8911456560384279,2.1221510122660328,1.7965883732365064,2.2282585628793345
9,Vegas Golden Knights,49.24,Carolina Hurricanes,50.76,2.0308692120227456,1.9700551615445234,1.9293257514216082,2.0685579196217496
10,Winnipeg Jets,59.725,Ottawa Senators,40.275,1.6743407283382166,2.4829298572315333,1.5906236919213057,2.6070763500931102
11,Washington Capitals,54.538,Philadelphia Flyers,45.462,1.833583923136162,2.1996392591614975,1.7419047269793537,2.3096212221195724
