,Home,Home Win Percent,Away,Away Win Percent,Home Odds,Away Odds,Adj Home Odds,Adj Away Odds
0,Anaheim Ducks,41.35,Calgary Flames,58.65,2.4183796856106405,1.7050298380221653,2.2974607013301083,1.7902813299232736
1,Buffalo Sabres,34.934,Columbus Blue Jackets,65.066,2.862540791206275,1.5369009928380413,2.719413751645961,1.6137460424799435
2,Colorado Avalanche,55.797,Washington Capitals,44.203,1.792211050773339,2.2622898898264823,1.702600498234672,2.3754043843178065
3,Florida Panthers,50.76,Philadelphia Flyers,49.24,1.9700551615445234,2.0308692120227456,1.8715524034672972,2.132412672623883
4,Minnesota Wild,47.601,New York Rangers,52.399,2.1007962017604673,1.9084333670489892,1.995756391672444,2.003855035401439
5,New Jersey Devils,60.632,Detroit Red Wings,39.368,1.6492941021242908,2.5401341190814875,1.5668293970180762,2.667140825035562
6,Nashville Predators,46.504,New York Islanders,53.496,2.150352657835885,1.8692986391505908,2.042835024944091,1.9627635711081204
7,Ottawa Senators,41.429,Arizona Coyotes,58.571,2.413768133433102,1.7073295658260916,2.2930797267614467,1.7926960441173962
8,Tampa Bay Lightning,66.3,Edmonton Oilers,33.7,1.5082956259426847,2.9673590504451037,1.4328808446455503,3.115727002967359
9,Toronto Maple Leafs,55.905,Dallas Stars,44.095,1.7887487702352203,2.2678308198208414,1.6993113317234592,2.3812223608118837
10,Vegas Golden Knights,47.211,St. Louis Blues,52.789,2.118150431043613,1.8943340468658245,2.012242909491432,1.9890507492091158
