Player,Touches 5G MA,FantPt 5G MA,Touches 10G MA,FantPt 10G MA,x
DERRICK HENRY,26.2,20.64,25.2,22.19,21.415
CHRISTIAN MCCAFFREY,23.8,21.78,24.4,19.71,20.745
ALVIN KAMARA,19.8,21.92,17.7,16.99,19.455
AARON JONES,18.6,19.4,19.5,18.27,18.835
DALVIN COOK,20.8,20.26,19.7,16.55,18.405
SAQUON BARKLEY,19.8,18.66,19.8,13.01,15.835
RAHEEM MOSTERT,14.6,15.32,13.9,15.48,15.4
EZEKIEL ELLIOTT,21.6,13.4,22.2,17.38,15.39
JOE MIXON,24,14.7,24.4,15.57,15.135
CHRIS CARSON,16.4,15.78,17,14.23,15.005
KENYAN DRAKE,18.6,12.3,19,16.4,14.35
MILES SANDERS,16.6,13.7,18.6,14.78,14.24
JOSH JACOBS,24.2,15.3,22,12.79,14.045
MELVIN GORDON,19.2,14.56,17.9,12.63,13.595
TODD GURLEY,18.8,13.26,18.8,13.88,13.57
JAMES CONNER,17.4,13.84,16,13,13.42
KAREEM HUNT,15.8,14.92,13.1,11.08,13
NICK CHUBB,14.8,12.28,16.6,12.87,12.575
RONALD JONES II,19,13.08,17.1,11.09,12.085
AUSTIN EKELER,16.8,10.82,14.3,12.23,11.525
MARLON MACK,12.8,10.62,16,10.77,10.695
MIKE DAVIS,19.2,14.02,9.8,7.03,10.525
DARRELL HENDERSON,15.2,13.56,8.5,7.08,10.32
DAVID MONTGOMERY,17.6,10.68,17.4,9.55,10.115
ADRIAN PETERSON,14.8,9.08,15.7,10.73,9.905
MYLES GASKIN,19.2,10.32,14.5,8.09,9.205
JERICK MCKINNON,10.4,9.28,10.3,8.56,8.92
SONY MICHEL,13.6,9.82,13.6,7.77,8.795
DAVID JOHNSON,17,9.6,11.6,7.99,8.795
LEONARD FOURNETTE,9.8,7.64,15.8,9.45,8.545
LE'VEON BELL,19,7.42,19.3,9.47,8.445
DEVIN SINGLETARY,15,8.24,16.8,8.61,8.425
PHILLIP LINDSAY,15.4,7.98,15.6,8.71,8.345
REX BURKHEAD,9.4,8.46,8.1,7.63,8.045
MARK INGRAM,8.6,6.82,11.2,8.88,7.85
LATAVIUS MURRAY,11.6,8.12,10.9,6.51,7.315
DEVONTA FREEMAN,12.2,5.8,15.9,8.83,7.315
JAMES WHITE,8.4,5.8,9.3,8.38,7.09
CARLOS HYDE,8.2,5.06,11.9,7.09,6.075
ALEXANDER MATTISON,10.6,5.72,9.9,5.62,5.67
JORDAN HOWARD,3.8,3.82,10.2,7.32,5.57
JAMAAL WILLIAMS,9.2,5.62,10.2,5.37,5.495
CHASE EDMONDS,6.8,6.56,4.5,4.41,5.485
GUS EDWARDS,8.8,5.22,9.2,5.18,5.2
BRIAN HILL,8.2,5.12,6.8,5.01,5.065
BOSTON SCOTT,5,3.4,8.8,6.69,5.045
TARIK COHEN,7.6,4.24,9.6,5.51,4.875
KERRYON JOHNSON,5.6,3.36,9.8,6.05,4.705
BENNY SNELL JR.,8.8,4.1,10.4,5.19,4.645
MALCOLM BROWN,9.2,3.38,8.3,5.71,4.545
FRANK GORE,15,5.22,10.4,3.48,4.35
DUKE JOHNSON,6.2,4.12,6.5,4.5,4.31
JEFF WILSON,5,4.76,3,3.59,4.175
J.D. MCKISSIC,9.2,5.28,5.9,2.94,4.11
TONY POLLARD,5.6,3.36,6.6,4.55,3.955
T.J. YELDON,5.4,4.44,4.5,3.3,3.87
NYHEIM HINES,6.8,3.08,7.3,4.26,3.67
TEVIN COLEMAN,7.2,3.1,8.6,4.19,3.645
THEO RIDDICK,6.6,3.12,7.2,4,3.56
DARREL WILLIAMS,3,3.22,4.8,3.86,3.54
