Player,Touches 5G MA,FantPt 5G MA,Touches 10G MA,FantPt 10G MA
ADAM THIELEN,5.8,12.400000000000016,4.1,9.870000000000008
CALVIN RIDLEY,5.6,12.22,6.6,14.499999999999996
D.K. METCALF,4.4,15.520000000000005,4.2,11.459999999999997
STEFON DIGGS,6.8,12.98,6.1,10.760000000000002
TYREEK HILL,5.4,12.640000000000002,5.5,11.289999999999994
DEANDRE HOPKINS,6.6,11.40000000000001,7.1,11.613999999999994
WILL FULLER,4.2,11.66,4.4,9.149999999999995
ROBERT WOODS,6.0,10.520000000000012,6.8,11.08
AMARI COOPER,7.4,11.200000000000005,6.3,9.249999999999998
ODELL BECKHAM JR.,4.6,12.323999999999987,4.3,9.882000000000003
ROBBY ANDERSON,7.0,8.700000000000005,5.8,10.059999999999999
ALLEN ROBINSON,7.0,10.399999999999997,6.9,10.120000000000001
DARIUS SLAYTON,3.8,6.620000000000002,3.4,7.269999999999999
TYLER LOCKETT,6.0,11.640000000000002,4.9,9.280000000000001
TERRY MCLAURIN,6.4,9.780000000000005,5.5,9.51
KEELAN COLE,4.6,8.74,3.7,7.8799999999999955
D.J. MOORE,4.6,9.599999999999996,4.9,8.709999999999999
TYLER BOYD,7.0,9.440000000000003,6.2,9.200000000000006
JAMISON CROWDER,7.4,12.579999999999998,5.4,9.540000000000006
COOPER KUPP,6.0,9.020000000000007,5.5,9.469999999999995
BRANDIN COOKS,5.0,9.340000000000009,3.8,6.719999999999997
COLE BEASLEY,4.8,8.400000000000002,4.6,8.710000000000003
JULIO JONES,6.0,10.96,7.0,11.890000000000002
KEENAN ALLEN,6.8,9.120000000000003,6.9,9.740000000000014
DJ CHARK,5.0,8.9,4.7,6.770000000000001
MARQUISE BROWN,4.4,6.720000000000001,3.7,5.61
GREG WARD,4.8,7.8199999999999985,4.8,6.669999999999999
TIM PATRICK,4.0,8.600000000000003,3.1,5.680000000000001
CHRISTIAN KIRK,2.8,8.459999999999997,4.1,6.709999999999998
EMMANUEL SANDERS,5.2,8.479999999999992,4.5,8.310000000000006
RANDALL COBB,4.0,7.480000000000002,3.5,5.9100000000000055
JUJU SMITH-SCHUSTER,4.6,7.880000000000005,3.5,5.029999999999999
ALLEN LAZARD,4.8,11.3,3.6,8.16
JARVIS LANDRY,3.8,6.2559999999999985,4.2,6.887999999999996
NELSON AGHOLOR,2.0,7.299999999999999,2.8,5.250000000000003
A.J. BROWN,4.6,13.719999999999999,4.5,14.030000000000001
RUSSELL GAGE,3.4,4.660000000000001,4.8,5.209999999999999
JULIAN EDELMAN,4.4,6.784000000000015,4.8,7.881999999999998
KENNY GOLLADAY,4.6,10.84000000000001,4.1,10.170000000000005
MECOLE HARDMAN,2.6,6.619999999999997,1.7,4.8500000000000005
MIKE WILLIAMS,2.8,7.340000000000001,3.0,8.65
SAMMY WATKINS,4.4,6.499999999999998,3.2,4.799999999999996
ADAM HUMPHRIES,4.4,7.859999999999994,3.7,6.250000000000003
SCOTT MILLER,2.4,4.880000000000001,2.9,5.42
ZACH PASCAL,2.8,5.999999999999998,2.8,5.360000000000001
JOHN BROWN,2.8,6.2799999999999985,3.1,7.312000000000002
DAVID MOORE,2.2,6.1,1.8,4.950000000000003
ANTHONY MILLER,2.6,3.2399999999999993,3.1,5.849999999999996
MARQUEZ VALDES-SCANTLING,3.0,6.040000000000001,1.8,3.270000000000001
JOSH REYNOLDS,2.6,4.98,2.1,3.6300000000000003
BRAXTON BERRIOS,2.4,5.4799999999999995,1.3,2.8499999999999996
COREY DAVIS,4.4,6.999999999999996,3.4,5.4099999999999975
ANDY ISABELLA,2.2,5.220000000000001,1.4,2.6899999999999995
GOLDEN TATE,3.0,4.160000000000012,3.3,6.0100000000000025
CHRIS GODWIN,5.6,9.260000000000002,5.6,10.670000000000002
CURTIS SAMUEL,6.8,4.920000000000003,5.8,5.609999999999999
T.Y. HILTON,3.2,3.7799999999999967,3.3,3.830000000000002
DAMIERE BYRD,3.4,4.340000000000001,3.2,4.380000000000001
A.J. GREEN,3.4,3.2800000000000056,4.2,5.599999999999996
DANNY AMENDOLA,2.4,4.1600000000000055,3.2,4.606000000000001
N'KEAL HARRY,3.8,4.16,3.2,3.9400000000000013
MARVIN JONES,2.8,4.120000000000002,3.5,6.260000000000007
WILLIE SNEAD,1.4,1.6999999999999988,1.9,3.189999999999996
DIONTAE JOHNSON,4.0,4.999999999999998,4.5,6.289999999999997
STERLING SHEPARD,5.2,7.5200000000000005,5.5,7.0699999999999985
MARCUS JOHNSON,2.4,4.420000000000003,2.5,5.760000000000002
DEEBO SAMUEL,5.6,10.02,5.0,10.120000000000001
ISAIAH FORD,3.0,3.219999999999999,3.9,4.2
