Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
1,Antonio Brown*+\BrowAn04,PIT,27,WR,16,16,193,136,70.5%,1834,13.5,10,59,9.5,8.5,114.6,3
2,Julio Jones*+\JoneJu02,ATL,26,WR,16,16,203,136,67.0%,1871,13.8,8,70,9.2,8.5,116.9,3
3,DeAndre Hopkins*\HopkDe00,HOU,23,WR,16,16,192,111,57.8%,1521,13.7,11,61,7.9,6.9,95.1,1
4,Jarvis Landry*\LandJa00,MIA,23,WR,16,14,166,110,66.3%,1157,10.5,4,50,7.0,6.9,72.3,1
5,Larry Fitzgerald*\FitzLa00,ARI,32,WR,16,16,145,109,75.2%,1215,11.1,9,44,8.4,6.8,75.9,2
6,Brandon Marshall*\MarsBr00,NYJ,31,WR,16,16,173,109,63.0%,1502,13.8,14,69,8.7,6.8,93.9,3
7,Demaryius Thomas\ThomDe03,DEN,28,WR,16,16,177,105,59.3%,1304,12.4,6,72,7.4,6.6,81.5,2
8,Odell Beckham*\BeckOd00,NYG,23,WR,15,15,158,96,60.8%,1450,15.1,13,87,9.2,6.4,96.7,2
9,Delanie Walker*\WalkHu00,TEN,31,TE,15,10,133,94,70.7%,1088,11.6,6,61,8.2,6.3,72.5,0
10,Golden Tate\TateGo00,DET,27,WR,16,16,128,90,70.3%,813,9.0,6,43,6.4,5.6,50.8,1
11,Calvin Johnson*\JohnCa00,DET,30,WR,16,16,149,88,59.1%,1214,13.8,9,57,8.1,5.5,75.9,1
12,Jeremy Maclin\MaclJe00,KAN,27,WR,15,15,124,87,70.2%,1088,12.5,8,61,8.8,5.8,72.5,2
13,Jordan Reed\ReedJo02,WAS,25,te/wr,14,9,114,87,76.3%,952,10.9,11,32,8.4,6.2,68.0,3
14,A.J. Green*\GreeA.00,CIN,27,WR,16,16,132,86,65.2%,1297,15.1,10,80,9.8,5.4,81.1,1
15,Michael Crabtree\CrabMi00,OAK,28,WR,16,15,146,85,58.2%,922,10.8,9,38,6.3,5.3,57.6,1
16,Jordan Matthews\MattJo00,PHI,23,WR,16,13,126,85,67.5%,997,11.7,8,78,7.9,5.3,62.3,2
17,Brandin Cooks\CookBr00,NOR,22,WR,16,13,129,84,65.1%,1138,13.5,9,71,8.8,5.3,71.1,1
18,Eric Decker\DeckEr00,NYJ,28,WR,15,13,132,80,60.6%,1027,12.8,12,35,7.8,5.3,68.5,1
19,Theo Riddick\RiddTh00,DET,24,rb,16,1,99,80,80.8%,697,8.7,3,34,7.0,5.0,43.6,1
20,Allen Robinson*\RobiAl02,JAX,22,WR,16,16,151,80,53.0%,1400,17.5,14,90,9.3,5.0,87.5,0
21,Danny Woodhead\WoodDa02,SDG,30,rb,16,2,106,80,75.5%,755,9.4,6,61,7.1,5.0,47.2,0
22,Gary Barnidge*\BarnGa01,CLE,30,TE,16,13,125,79,63.2%,1043,13.2,9,40,8.3,4.9,65.2,0
23,Randall Cobb\CobbRa00,GNB,25,WR,16,15,129,79,61.2%,829,10.5,6,53,6.4,4.9,51.8,1
24,Doug Baldwin\BaldDo00,SEA,27,WR,16,16,103,78,75.7%,1069,13.7,14,80,10.4,4.9,66.8,1
25,Greg Olsen*\OlseGr00,CAR,30,TE,16,16,124,77,62.1%,1104,14.3,7,52,8.9,4.8,69.0,1
26,Jason Witten\WittJa00,DAL,33,TE,16,16,104,77,74.0%,713,9.3,3,35,6.9,4.8,44.6,1
27,Emmanuel Sanders\SandEm00,DEN,28,WR,15,15,136,76,55.9%,1135,14.9,6,75,8.3,5.1,75.7,2
28,Kamar Aiken\AikeKa00,BAL,26,WR,16,14,127,75,59.1%,944,12.6,5,48,7.4,4.7,59.0,1
29,Zach Ertz\ErtzZa00,PHI,25,te,15,7,112,75,67.0%,853,11.4,2,60,7.6,5.0,56.9,1
30,Mike Evans\EvanMi00,TAM,22,WR,15,14,148,74,50.0%,1206,16.3,3,68,8.1,4.9,80.4,1
31,Ben Watson\WatsBe00,NOR,35,TE,16,16,110,74,67.3%,825,11.1,6,46,7.5,4.6,51.6,1
32,Devonta Freeman*\FreeDe00,ATL,23,RB,15,13,97,73,75.3%,578,7.9,3,44,6.0,4.9,38.5,3
33,Amari Cooper*\CoopAm00,OAK,21,WR,16,15,130,72,55.4%,1070,14.9,6,68,8.2,4.5,66.9,1
34,Pierre Garcon\GarcPi00,WAS,29,WR,16,16,111,72,64.9%,777,10.8,6,39,7.0,4.5,48.6,0
35,Rob Gronkowski*+\GronRo00,NWE,26,TE,15,15,120,72,60.0%,1176,16.3,11,76,9.8,4.8,78.4,0
36,Travis Kelce*\KelcTr00,KAN,26,TE,16,16,103,72,69.9%,875,12.2,5,42,8.5,4.5,54.7,2
37,Anquan Boldin\BoldAn00,SFO,35,WR,14,13,111,69,62.2%,789,11.4,4,51,7.1,4.9,56.4,1
38,T.Y. Hilton*\HiltT.00,IND,26,WR,16,15,134,69,51.5%,1124,16.3,5,87,8.4,4.3,70.3,1
39,Willie Snead\SneaWi00,NOR,23,fb/WR,15,9,101,69,68.3%,984,14.3,3,63,9.7,4.6,65.6,2
40,Travis Benjamin\BenjTr00,CLE,26,WR,16,15,125,68,54.4%,966,14.2,5,61,7.7,4.3,60.4,3
