,schedule_season,team_home,team_away,team_favorite_id,spread_favorite,score_home,score_away,Favourite_Win,Favourtie_Cover,H_or_W_Win
11610,2016,DEN,CAR,CAR,3.0,21.0,20.0,favel,not_covered,homew
11611,2016,ARI,NE,ARI,8.5,21.0,23.0,favel,not_covered,awayw
11612,2016,ATL,TB,ATL,2.5,24.0,31.0,favel,not_covered,awayw
11613,2016,BAL,BUF,BAL,3.0,13.0,7.0,favew,covered,homew
11614,2016,DAL,NYG,NYG,1.0,19.0,20.0,favew,PUSH,awayw
11615,2016,HOU,CHI,HOU,5.5,23.0,14.0,favew,covered,homew
11616,2016,IND,DET,IND,2.5,35.0,39.0,favel,not_covered,awayw
11617,2016,JAX,GB,GB,3.5,23.0,27.0,favew,covered,awayw
11618,2016,KC,LAC,KC,6.5,33.0,27.0,favew,not_covered,homew
11619,2016,NO,OAK,NO,3.0,34.0,35.0,favel,not_covered,awayw
11620,2016,NYJ,CIN,CIN,1.0,22.0,23.0,favew,PUSH,awayw
11621,2016,PHI,CLE,PHI,3.5,29.0,10.0,favew,covered,homew
11622,2016,SEA,MIA,SEA,10.5,12.0,10.0,favew,not_covered,homew
11623,2016,TEN,MIN,MIN,2.5,16.0,25.0,favew,covered,awayw
11624,2016,SF,LAR,LAR,2.5,28.0,0.0,favel,not_covered,homew
11625,2016,WAS,PIT,PIT,2.5,16.0,38.0,favew,covered,awayw
11626,2016,BUF,NYJ,PICK,0.0,31.0,37.0,WASH,PUSH,awayw
11627,2016,ARI,TB,ARI,7.0,40.0,7.0,favew,covered,homew
11628,2016,CAR,SF,CAR,12.5,46.0,27.0,favew,covered,homew
11629,2016,CLE,BAL,BAL,4.5,20.0,25.0,favew,covered,awayw
11630,2016,DEN,IND,DEN,6.0,34.0,20.0,favew,covered,homew
11631,2016,DET,TEN,DET,6.0,15.0,16.0,favel,not_covered,awayw
11632,2016,HOU,KC,HOU,1.0,19.0,12.0,favew,covered,homew
11633,2016,LAR,SEA,SEA,5.5,9.0,3.0,favel,not_covered,homew
11634,2016,MIN,GB,GB,2.0,17.0,14.0,favel,not_covered,homew
11635,2016,NE,MIA,NE,5.5,31.0,24.0,favew,covered,homew
11636,2016,NYG,NO,NYG,4.0,16.0,13.0,favew,not_covered,homew
11637,2016,OAK,ATL,OAK,4.0,28.0,35.0,favel,not_covered,awayw
11638,2016,PIT,CIN,PIT,3.0,24.0,16.0,favew,covered,homew
11639,2016,LAC,JAX,LAC,3.0,38.0,14.0,favew,covered,homew
11640,2016,WAS,DAL,WAS,3.0,23.0,27.0,favel,not_covered,awayw
11641,2016,CHI,PHI,CHI,3.0,14.0,29.0,favel,not_covered,awayw
11642,2016,NE,HOU,NE,1.0,27.0,0.0,favew,covered,homew
11643,2016,BUF,ARI,ARI,5.0,33.0,18.0,favel,not_covered,homew
11644,2016,CAR,MIN,CAR,6.5,10.0,22.0,favel,not_covered,awayw
11645,2016,CIN,DEN,CIN,3.5,17.0,29.0,favel,not_covered,awayw
11646,2016,DAL,CHI,DAL,6.5,31.0,17.0,favew,covered,homew
11647,2016,GB,DET,GB,6.5,34.0,27.0,favew,covered,homew
11648,2016,IND,LAC,IND,1.5,26.0,22.0,favew,covered,homew
11649,2016,JAX,BAL,BAL,2.0,17.0,19.0,favew,PUSH,awayw
11650,2016,KC,NYJ,KC,3.0,24.0,3.0,favew,covered,homew
