"player","tournament id","Player_initial_last","player id","DK_Hole_FP","DK_Streak_Bonus_FP","FD_Hole_FP","FD_Streak_Bonus_FP","tournament name","season","final position","DK_Finish_FP","FD_Finish_FP","DK_Total_FP","FD_Total_FP","major","made_cut","course","SD_Hole_FP","SD_Streak_Bonus_FP","SD_Finish_FP","SD_Total_FP","date","Finish","Score","sg_putt","sg_arg","sg_app","sg_ott","sg_t2g","sg_total","place"
"Aaron Baddeley",401056252,"A. Baddeley",16,78.5,0,76.6,14.8,"Safeway Open",2019,4,16,16,94.5,107.4,0,1,"Silverado - Napa, CA",81,6,10,97,2018-10-07,"T4","-13",-0.2,0.67,2.42,-0.28,2.81,2.61,"4"
"Aaron Baddeley",401056503,"A. Baddeley",16,28.5,0,25.7,9.6,"Sanderson Farms Championship",2019,NA,0,0,28.5,35.3,0,0,"Country Club of Jackson - Jackson, MS",29,3,0,32,2018-10-28,"CUT","E",0.23,0.15,-1.28,0.61,-0.52,-0.29,"-"
"Aaron Baddeley",401056506,"A. Baddeley",16,72,6,66.8,20.4,"The RSM Classic",2019,59,0,0,78,87.2,0,1,"Sea Island - Sea Island, GA",71,6,0,77,2018-11-18,"T59","-7",-1,-0.09,0.05,-0.21,-0.25,-1.26,"59"
"Aaron Baddeley",401056511,"A. Baddeley",16,87.5,6,84.1,17.2,"Desert Classic",2019,18,5,4,98.5,105.3,0,1,"La Quinta CC - La Quinta, CA",87,14,2,103,2019-01-20,"T18","-16",2.74,0.5,-0.47,0.8,0.83,3.57,"18"
"Aaron Baddeley",401056513,"A. Baddeley",16,24.5,0,19.6,15.6,"Waste Management Phoenix Open",2019,NA,0,0,24.5,35.2,0,0,"TPC Scottsdale - Scottsdale, AZ",24,0,0,24,2019-02-03,"CUT","4",1.02,-0.48,-0.7,-2.35,-3.52,-2.5,"-"
"Aaron Baddeley",401056514,"A. Baddeley",16,37,0,32.7,5.6,"AT&T Pebble Beach Pro-Am",2019,NA,0,0,37,38.3,0,0,"Spyglass Hill - Pebble Beach, CA",46,0,0,46,2019-02-11,"CUT","1",-2.17,0.28,1.7,0.15,2.13,-0.04,"-"
"Aaron Baddeley",401056515,"A. Baddeley",16,60,3,53.5,15.4,"Genesis Open",2019,49,1,0,64,68.9,0,1,"Riviera - Pacific Palisades, CA",59,6,0,65,2019-02-14,"T49","E",1.06,0.49,-1.45,0.18,-0.78,0.28,"49"
"Aaron Baddeley",401056517,"A. Baddeley",16,73.5,6,72.7,15.4,"Puerto Rico Open",2019,2,20,20,99.5,108.1,0,1,"Coco Beach - Rio Grande, Puero Rico",79,14,13,106,2019-02-24,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"Aaron Baddeley",401056521,"A. Baddeley",16,65.5,3,60.6,15.8,"Arnold Palmer Invitational Pres. by Mastercard",2019,17,5,4,73.5,80.4,0,1,"Bay Hill - Orlando, FL",67,3,2,72,2019-03-10,"T17","-5",0.69,2.49,-0.61,-0.99,0.89,1.57,"17"
"Aaron Baddeley",401056522,"A. Baddeley",16,28,0,21.3,10.6,"The Players Championship",2019,NA,0,0,28,31.9,0,0,"TPC Sawgrass - Ponte Vedra Beach, FL",23,0,0,23,2019-03-17,"CUT","4",0.18,0.43,-1.76,-1.27,-2.6,-2.42,"-"
